fonte,count,min,mean,median,max,std
Eólica,52,0.0,4371.72,18.91,34689.15,8837.4
Hidráulica,52,13724.0,62990.33,60030.0,110162.98,29428.0
Nuclear,52,0.0,1187.19,1311.5,2007.0,848.35
Solar fotovoltaica,52,0.0,1243.97,0.0,20051.7,3727.33
Térmica,52,4409.0,19133.51,9494.0,49044.92,15566.6
