fonte,ano,geracao_gwh,participacao_geracao_pct,crescimento_anual_pct,renovavel,variation_pct
Eólica,2012,5050.046375,1.157120383751609,86.72754205953042,true,86.73
Eólica,2014,12240.349685,2.05276348745179,86.0685176157283,true,86.07
Eólica,2015,21625.70216,3.686324024888845,76.67552575316807,true,76.68
Hidráulica,2022,427113.549289,63.07409823004338,17.7210111551936,true,17.72
Hidráulica,2016,380910.942378,65.18111821971499,5.884241102767107,true,5.88
Hidráulica,2018,388971.075876,64.05947041290291,4.870397694758921,true,4.87
Nuclear,2024,15766.83702,2.0985082222835807,8.708895905504388,false,8.71
Nuclear,2016,15864.343667,2.7146914015685075,7.6705532690884315,false,7.67
Nuclear,2021,14704.587598,2.240199636326764,4.639636173415185,false,4.64
Solar fotovoltaica,2012,1.615116,0.000370072571011462,inf,true,inf
Solar fotovoltaica,2017,831.8134019999999,0.13966577344017983,875.6130138861695,true,875.61
Solar fotovoltaica,2018,3461.434833,0.5700621357806118,316.1311689229071,true,316.13
Térmica,2021,189835.00880399998,28.920791885564366,26.110346571476526,false,26.11
Térmica,2014,195212.454579,32.73803521697447,18.539079381874778,false,18.54
Térmica,2025,154017.560831699,19.850286381950085,13.707465466382418,false,13.71
