ano,fonte,geracao_gwh,participacao_geracao_pct,crescimento_anual_pct,renovavel,capacidade_mw,geracao_por_mw
2011,Eólica,2704.5,0.6054442353289284,,true,1424.9922000000001,1.8979
2011,Hidráulica,428332.919871,95.8889617812922,,true,82458.9,5.1945
2011,Nuclear,15659.376,3.5055939833788776,,false,2007.0,7.8024
2011,Solar fotovoltaica,0.0,0.0,,true,0.8,0.0
2012,Eólica,5050.046375,1.157120383751609,86.72754205953042,true,1891.8742599999998,2.6693
2012,Hidráulica,415342.175458,95.16762060510564,-3.0328615453868,true,84294.00000000001,4.9273
2012,Nuclear,16038.4,3.6748889385717383,2.4204285023873284,false,2007.0,7.9912
2012,Solar fotovoltaica,1.615116,0.000370072571011462,inf,true,2.082,0.7758
2013,Eólica,6578.409847,1.1393868829709946,30.264345285344028,true,2201.744,2.9878
2013,Hidráulica,390649.181802,67.66081225412438,-5.945217007825154,true,86018.19054999997,4.5415
2013,Nuclear,15449.69,2.6759010978915896,-3.6706279928172325,false,1990.0,7.7637
2013,Solar fotovoltaica,4.793593,0.0008302548964765921,196.79558619938135,true,4.892340000000001,0.9798
2013,Térmica,164681.939152,28.523069510116567,,false,36528.47617000014,4.5083
2014,Eólica,12240.349685,2.05276348745179,86.0685176157283,true,4887.6890300000005,2.5043
2014,Hidráulica,373439.060474,62.627464725843595,-4.405518334535485,true,89192.9621950449,4.1869
2014,Nuclear,15378.46248,2.5790395768494183,-0.4610287973415672,false,1990.0,7.7279
2014,Solar fotovoltaica,16.081802,0.002696992880724974,235.4853447090731,true,15.08048,1.0664
2014,Térmica,195212.454579,32.73803521697447,18.539079381874778,false,37826.77,5.1607
2015,Eólica,21625.70216,3.686324024888845,76.67552575316807,true,7632.732,2.8333
2015,Hidráulica,359742.80819400004,61.32187277966848,-3.6676003475950125,true,91650.1977,3.9252
2015,Nuclear,14734.15264,2.5115883156698113,-4.189689579422762,false,1990.0,7.4041
2015,Solar fotovoltaica,58.91741,0.010043080329153402,266.36074738390636,true,21.3469184,2.76
2015,Térmica,190485.22584499998,32.47017179944371,-2.421581524700811,false,39563.47176,4.8147
2016,Eólica,33488.871996,5.730583928591945,54.856807645962704,true,10123.94222,3.3079
2016,Hidráulica,380910.942378,65.18111821971499,5.884241102767107,true,96924.99831,3.93
2016,Nuclear,15864.343667,2.7146914015685075,7.6705532690884315,false,1990.0,7.972
2016,Solar fotovoltaica,85.260589,0.014589710908269528,44.71204521719472,true,23.76142,3.5882
2016,Térmica,154039.055796,26.35901673921628,-19.133331673006836,false,41274.875209999984,3.732
2017,Eólica,42373.258248,7.1146892706441385,26.529368481151504,true,12283.242860000002,3.4497
2017,Hidráulica,370906.456375,62.277112846482716,-2.626463272633417,true,100275.40012999998,3.6989
2017,Nuclear,15739.196438,2.64269250598128,-0.7888585347550325,false,1990.0,7.9091
2017,Solar fotovoltaica,831.8134019999999,0.13966577344017983,875.6130138861695,true,935.3246300000001,0.8893
2017,Térmica,165723.539375,27.82583960345168,7.585403272319602,false,41628.20823999999,3.981
2018,Eólica,48475.141215,7.983349063757938,14.400315716311507,true,14390.29286,3.3686
2018,Hidráulica,388971.075876,64.05947041290291,4.870397694758921,true,104139.37922999999,3.7351
2018,Nuclear,15673.887022,2.5813253586523133,-0.41494758806314147,false,1990.0,7.8763
2018,Solar fotovoltaica,3461.434833,0.5700621357806118,316.1311689229071,true,1797.5802600000002,1.9256
2018,Térmica,150621.538708,24.80579302890623,-9.112767398014054,false,40522.827489999996,3.717
2019,Eólica,55985.62168,8.844038635628248,15.49346794409332,true,15377.85286,3.6407
2019,Hidráulica,397877.05663,62.85256741773077,2.289625451954991,true,109058.17580000003,3.6483
2019,Nuclear,16128.824302,2.5478674880037135,2.9025172847134018,false,1990.0,8.1049
2019,Solar fotovoltaica,6654.579081,1.0512226662874047,92.2491510618019,true,2473.4318999999996,2.6904
2019,Térmica,156386.22387000002,24.704303792349865,3.827264819791565,false,41218.56159,3.7941
2020,Eólica,57050.706317,9.073473037317251,1.9024253103551603,true,17131.16286000002,3.3302
2020,Hidráulica,396381.195392,63.041359539087594,-0.3759606675162064,true,109271.13641,3.6275
2020,Nuclear,14052.59817,2.2349569151916784,-12.872767990550592,false,1990.0,7.0616
