fonte,ano,geracao_gwh,participacao_geracao_pct,crescimento_anual_pct,renovavel,variation_pct
Eólica,2020,57050.706317,9.073473037317251,1.9024253103551603,true,1.9
Eólica,2025,116488.27131671723,15.013388949211496,8.206139057265794,true,8.21
Eólica,2024,107654.031769,14.328357079017001,12.372884684917151,true,12.37
Hidráulica,2021,362818.451097,55.27429836323242,-8.467289741585304,true,-8.47
Hidráulica,2013,390649.181802,67.66081225412438,-5.945217007825154,true,-5.95
Hidráulica,2025,401415.44982235896,51.735734510302464,-4.832575696022512,true,-4.83
Nuclear,2020,14052.59817,2.2349569151916784,-12.872767990550592,false,-12.87
Nuclear,2015,14734.15264,2.5115883156698113,-4.189689579422762,false,-4.19
Nuclear,2013,15449.69,2.6759010978915896,-3.6706279928172325,false,-3.67
Solar fotovoltaica,2025,88140.51517683,11.359837531932904,24.73061234284968,true,24.73
Solar fotovoltaica,2024,70664.70172900001,9.405212815697848,39.562850698768685,true,39.56
Solar fotovoltaica,2016,85.260589,0.014589710908269528,44.71204521719472,true,44.71
Térmica,2022,123730.97005599999,18.272001373878428,-34.82183774450729,false,-34.82
Térmica,2016,154039.055796,26.35901673921628,-19.133331673006836,false,-19.13
Térmica,2018,150621.538708,24.80579302890623,-9.112767398014054,false,-9.11
