ano,regiao,estado,fonte,geracao_gwh,renovavel
2011,SUDESTE,Rio de Janeiro,Solar fotovoltaica,0.0,True
2011,SUDESTE,São Paulo,Eólica,0.0,True
2011,SUDESTE,São Paulo,Hidráulica,54152.222072,True
2011,SUDESTE,São Paulo,Nuclear,0.0,False
2011,SUDESTE,São Paulo,Solar fotovoltaica,0.0,True
2011,SUL,Paraná,Eólica,24.343526,True
2011,SUL,Paraná,Hidráulica,96673.514598,True
2011,SUL,Paraná,Nuclear,0.0,False
2011,SUL,Paraná,Solar fotovoltaica,0.0,True
2011,SUL,Rio Grande do Sul,Eólica,698.769982,True
2011,SUL,Rio Grande do Sul,Hidráulica,23773.480101,True
2011,SUL,Rio Grande do Sul,Nuclear,0.0,False
2011,SUL,Rio Grande do Sul,Solar fotovoltaica,0.0,True
2011,SUL,Santa Catarina,Eólica,17.118059,True
2011,SUL,Santa Catarina,Hidráulica,22503.581563,True
2011,SUL,Santa Catarina,Nuclear,0.0,False
2011,SUL,Santa Catarina,Solar fotovoltaica,0.0,True
2012,CENTRO OESTE,Distrito Federal,Eólica,0.0,True
2012,CENTRO OESTE,Distrito Federal,Hidráulica,128.128651,True
2012,CENTRO OESTE,Distrito Federal,Nuclear,0.0,False
2012,CENTRO OESTE,Distrito Federal,Solar fotovoltaica,0.0,True
2012,CENTRO OESTE,Goiás,Eólica,0.0,True
2012,CENTRO OESTE,Goiás,Hidráulica,34211.947168,True
2012,CENTRO OESTE,Goiás,Nuclear,0.0,False
2012,CENTRO OESTE,Goiás,Solar fotovoltaica,0.0,True
2012,CENTRO OESTE,Mato Grosso,Eólica,0.0,True
2012,CENTRO OESTE,Mato Grosso,Hidráulica,8746.616544,True
2012,CENTRO OESTE,Mato Grosso,Nuclear,0.0,False
2012,CENTRO OESTE,Mato Grosso,Solar fotovoltaica,0.0,True
2012,CENTRO OESTE,Mato Grosso do Sul,Eólica,0.0,True
2012,CENTRO OESTE,Mato Grosso do Sul,Hidráulica,21207.46932,True
2012,CENTRO OESTE,Mato Grosso do Sul,Nuclear,0.0,False
2012,CENTRO OESTE,Mato Grosso do Sul,Solar fotovoltaica,0.0,True
2012,NORDESTE,Alagoas,Eólica,0.0,True
2012,NORDESTE,Alagoas,Hidráulica,18594.432932,True
2012,NORDESTE,Alagoas,Nuclear,0.0,False
2012,NORDESTE,Alagoas,Solar fotovoltaica,0.0,True
2012,NORDESTE,Bahia,Eólica,162.773117,True
2012,NORDESTE,Bahia,Hidráulica,18532.214537,True
2012,NORDESTE,Bahia,Nuclear,0.0,False
2012,NORDESTE,Bahia,Solar fotovoltaica,0.0,True
2012,NORDESTE,Ceará,Eólica,1974.620825,True
2012,NORDESTE,Ceará,Hidráulica,2.03927,True
2012,NORDESTE,Ceará,Nuclear,0.0,False
2012,NORDESTE,Ceará,Solar fotovoltaica,1.614368,True
2012,NORDESTE,Maranhão,Eólica,0.0,True
2012,NORDESTE,Maranhão,Hidráulica,2669.2908,True
2012,NORDESTE,Maranhão,Nuclear,0.0,False
2012,NORDESTE,Maranhão,Solar fotovoltaica,0.0,True
2012,NORDESTE,Paraíba,Eólica,167.014279,True
2012,NORDESTE,Paraíba,Hidráulica,9.636013,True
2012,NORDESTE,Paraíba,Nuclear,0.0,False
2012,NORDESTE,Paraíba,Solar fotovoltaica,0.0,True
2012,NORDESTE,Pernambuco,Eólica,68.378784,True
2012,NORDESTE,Pernambuco,Hidráulica,4045.490951,True
2012,NORDESTE,Pernambuco,Nuclear,0.0,False
2012,NORDESTE,Pernambuco,Solar fotovoltaica,0.0,True
2012,NORDESTE,Piauí,Eólica,71.263983,True
2012,NORDESTE,Piauí,Hidráulica,572.12784,True
2012,NORDESTE,Piauí,Nuclear,0.0,False
2012,NORDESTE,Piauí,Solar fotovoltaica,0.0,True
2012,NORDESTE,Rio Grande do Norte,Eólica,980.380877,True
2012,NORDESTE,Rio Grande do Norte,Hidráulica,0.0,True
2012,NORDESTE,Rio Grande do Norte,Nuclear,0.0,False
2012,NORDESTE,Rio Grande do Norte,Solar fotovoltaica,0.0,True
2012,NORDESTE,Sergipe,Eólica,23.992843,True
2012,NORDESTE,Sergipe,Hidráulica,9831.29664,True
2012,NORDESTE,Sergipe,Nuclear,0.0,False
2012,NORDESTE,Sergipe,Solar fotovoltaica,0.0,True
2012,NORTE,Acre,Eólica,0.0,True
2012,NORTE,Acre,Hidráulica,0.0,True
2012,NORTE,Acre,Nuclear,0.0,False
2012,NORTE,Acre,Solar fotovoltaica,0.0,True
2012,NORTE,Amapá,Eólica,0.0,True
2012,NORTE,Amapá,Hidráulica,395.6,True
2012,NORTE,Amapá,Nuclear,0.0,False
2012,NORTE,Amapá,Solar fotovoltaica,0.0,True
2012,NORTE,Amazonas,Eólica,0.0,True
2012,NORTE,Amazonas,Hidráulica,1259.969415,True
2012,NORTE,Amazonas,Nuclear,0.0,False
2012,NORTE,Amazonas,Solar fotovoltaica,0.0,True
2012,NORTE,Pará,Eólica,0.0,True
2012,NORTE,Pará,Hidráulica,39600.655431,True
2012,NORTE,Pará,Nuclear,0.0,False
2012,NORTE,Pará,Solar fotovoltaica,0.0,True
2012,NORTE,Rondônia,Eólica,0.0,True
2012,NORTE,Rondônia,Hidráulica,2474.406853,True
2012,NORTE,Rondônia,Nuclear,0.0,False
2012,NORTE,Rondônia,Solar fotovoltaica,0.0,True
2012,NORTE,Roraima,Eólica,0.0,True
2012,NORTE,Roraima,Hidráulica,20.4,True
2012,NORTE,Roraima,Nuclear,0.0,False
2012,NORTE,Roraima,Solar fotovoltaica,0.0,True
2012,NORTE,Tocantins,Eólica,0.0,True
2012,NORTE,Tocantins,Hidráulica,12740.320533,True
2012,NORTE,Tocantins,Nuclear,0.0,False
2012,NORTE,Tocantins,Solar fotovoltaica,0.0,True
2012,SUDESTE,Espírito Santo,Eólica,0.0,True
2012,SUDESTE,Espírito Santo,Hidráulica,2058.453678,True
2012,SUDESTE,Espírito Santo,Nuclear,0.0,False
2012,SUDESTE,Espírito Santo,Solar fotovoltaica,0.0,True
2012,SUDESTE,Minas Gerais,Eólica,0.0,True
2012,SUDESTE,Minas Gerais,Hidráulica,64716.316868,True
2012,SUDESTE,Minas Gerais,Nuclear,0.0,False
2012,SUDESTE,Minas Gerais,Solar fotovoltaica,0.0,True
2012,SUDESTE,Rio de Janeiro,Eólica,68.730985,True
2012,SUDESTE,Rio de Janeiro,Hidráulica,6834.774856,True
2012,SUDESTE,Rio de Janeiro,Nuclear,16038.4,False
2012,SUDESTE,Rio de Janeiro,Solar fotovoltaica,0.0,True
2012,SUDESTE,São Paulo,Eólica,0.0,True
2012,SUDESTE,São Paulo,Hidráulica,55721.658277,True
2012,SUDESTE,São Paulo,Nuclear,0.0,False
2012,SUDESTE,São Paulo,Solar fotovoltaica,0.000748,True
