ano,fonte,geracao_gwh,participacao_pct
2011,Hidráulica,428332.91987099993,80.55031348502996
2011,Eólica,2704.5,0.5085957971333898
2011,Solar fotovoltaica,0.0,0.0
2011,Nuclear,15659.376,2.9448300311819087
2011,Térmica,85061.43242019636,15.996260686654734
2012,Hidráulica,415342.175458,74.44221148381052
2012,Eólica,5050.046375,0.9051250811123466
2012,Solar fotovoltaica,1.615116,0.00028947892592488296
2012,Nuclear,16038.4,2.8745791667927523
2012,Térmica,121506.82367163646,21.777794789358452
2013,Hidráulica,390649.1818019999,67.66081225419994
2013,Eólica,6578.409847000001,1.139386882972267
2013,Solar fotovoltaica,4.7935929999999995,0.0008302548964775192
2013,Nuclear,15449.69,2.6759010978945783
2013,Térmica,164681.93915135518,28.523069510036734
2014,Hidráulica,373439.06047400006,62.62746472611178
2014,Eólica,12240.349684999997,2.05276348746058
2014,Solar fotovoltaica,16.081802000000003,0.0026969928807365233
2014,Nuclear,15378.46248,2.579039576860462
2014,Térmica,195212.45457644662,32.738035216686434
2015,Hidráulica,359742.808194,61.32187277950782
2015,Eólica,21625.70216,3.686324024879187
2015,Solar fotovoltaica,58.917410000000004,0.010043080329127093
2015,Nuclear,14734.15264,2.5115883156632313
2015,Térmica,190485.22584653692,32.47017179962063
2016,Hidráulica,380910.94237800007,65.21788740963291
2016,Eólica,33488.871995999994,5.733816596802706
2016,Solar fotovoltaica,85.26058900000004,0.01459794108083922
2016,Nuclear,15864.343667,2.7162227806923864
2016,Térmica,153709.58344331488,26.31747527179116
2017,Hidráulica,370906.45637500007,62.277112846595415
2017,Eólica,42373.25824799999,7.11468927065701
2017,Solar fotovoltaica,831.8134020000002,0.1396657734404326
2017,Nuclear,15739.196438,2.6426925059860618
2017,Térmica,165723.53937392228,27.82583960332107
2018,Hidráulica,388971.07587600005,64.05947041249709
2018,Eólica,48475.141214999996,7.9833490637073625
2018,Solar fotovoltaica,3461.4348330000003,0.5700621357770005
2018,Nuclear,15673.887022,2.5813253586359606
2018,Térmica,150621.5387118467,24.80579302938259
2019,Hidráulica,397877.05663000006,62.85253435609142
2019,Eólica,55985.62167999999,8.844033983496633
2019,Solar fotovoltaica,6654.579081000002,1.0512221133243977
2019,Nuclear,16128.824302,2.54786614777722
2019,Térmica,156386.55685714213,24.70434339931034
2020,Hidráulica,396381.195392,63.041359539837885
2020,Eólica,57050.706317,9.07347303742524
2020,Solar fotovoltaica,10748.341462,1.7094404740688776
2020,Nuclear,14052.59817,2.2349569152182784
2020,Térmica,150530.8755035167,23.94077003344972
2021,Hidráulica,362818.451097,55.27562731009317
2021,Eólica,72285.97486899998,11.012815347523107
2021,Solar fotovoltaica,16752.280869999995,2.5522209004650582
2021,Nuclear,14704.587598,2.240253496915904
2021,Térmica,189819.22760260914,28.919082945002764
2022,Hidráulica,427113.54928899993,63.07516693142961
2022,Eólica,81631.568663,12.05516619377776
2022,Solar fotovoltaica,30126.461567,4.449007987583321
2022,Nuclear,14559.013213,2.1500422786763482
2022,Térmica,123719.49670545559,18.27061660853297
2023,Hidráulica,425996.08713700005,60.15880725299951
2023,Eólica,95800.71924899999,13.528896574455743
2023,Solar fotovoltaica,50632.887889000005,7.150333618434126
2023,Nuclear,14503.722891,2.0482034840145884
2023,Térmica,121185.82021425897,17.11375907009604
2024,Hidráulica,421799.216232,56.13992979586719
2024,Eólica,107654.03176899998,14.328357078856058
2024,Solar fotovoltaica,70664.701729,9.405212815592206
2024,Nuclear,15766.83702,2.0985082222600098
2024,Térmica,135450.70256343926,18.02799208742454
2025,Hidráulica,401415.44982235896,51.73573463816962
2025,Eólica,116488.27131671722,15.013388986317745
2025,Solar fotovoltaica,88140.51517682998,11.35983756000924
2025,Nuclear,15834.116232,2.040752631646858
2025,Térmica,154017.55891403812,19.850286183856547
