ano,fonte,geracao_gwh,participacao_geracao_pct,crescimento_anual_pct_x,renovavel,capacidade_mw,participacao_capacidade_pct,crescimento_anual_pct_y
2011,Eólica,2704.5,0.6054442353289284,,True,1424.9922000000001,1.2165433454886279,53.720841423948265
2011,Hidráulica,428332.919871,95.8889617812922,,True,82458.9,70.39675450245426,2.1757555481208612
2011,Nuclear,15659.376,3.5055939833788776,,False,2007.0,1.7134146379156854,0.0
2011,Solar fotovoltaica,0.0,0.0,,True,0.8,0.0006829754411223461,0.0
2012,Eólica,5050.046375,1.157120383751609,86.72754205953042,True,1891.8742599999998,1.5638814115546442,32.76383267220688
2012,Hidráulica,415342.175458,95.16762060510564,-3.0328615453868,True,84294.00000000001,69.68001124217803,2.22547232621344
2012,Nuclear,16038.4,3.6748889385717383,2.4204285023873284,False,2007.0,1.6590478867185239,0.0
2012,Solar fotovoltaica,1.615116,0.000370072571011462,inf,True,2.082,0.0017210451919023252,160.24999999999997
2013,Eólica,6578.409847,1.1393868829709946,30.264345285344028,True,2201.744,1.737167918811219,16.378981761716037
2013,Hidráulica,390649.181802,67.66081225412438,-5.945217007825154,True,86018.19054999997,67.86803600130183,2.0454487270742394
2013,Nuclear,15449.69,2.6759010978915896,-3.6706279928172325,False,1990.0,1.570102681526247,-0.8470353761833582
2013,Solar fotovoltaica,4.793593,0.0008302548964765921,196.79558619938135,True,4.892340000000001,0.0038600382678081013,134.98270893371762
2013,Térmica,164681.939152,28.523069510116567,,False,36528.47617000014,28.820833360092884,11.441904403292336
2014,Eólica,12240.349685,2.05276348745179,86.0685176157283,True,4887.6890300000005,3.649912418756543,121.99170430349761
2014,Hidráulica,373439.060474,62.627464725843595,-4.405518334535485,True,89192.9621950449,66.60540357277543,3.6908142623617968
2014,Nuclear,15378.46248,2.5790395768494183,-0.4610287973415672,False,1990.0,1.4860449731446028,0.0
2014,Solar fotovoltaica,16.081802,0.002696992880724974,235.4853447090731,True,15.08048,0.011261442963119457,208.24676943957283
2014,Térmica,195212.454579,32.73803521697447,18.539079381874778,False,37826.77,28.247377592360333,3.5541965231665307
2015,Eólica,21625.70216,3.686324024888845,76.67552575316807,True,7632.732,5.418751959242911,56.16238989737854
2015,Hidráulica,359742.80819400004,61.32187277966848,-3.6676003475950125,True,91650.1977,65.06578356896,2.7549656884157336
2015,Nuclear,14734.15264,2.5115883156698113,-4.189689579422762,False,1990.0,1.4127728313916164,0.0
2015,Solar fotovoltaica,58.91741,0.010043080329153402,266.36074738390636,True,21.3469184,0.015154947914298387,41.553308648000595
2015,Térmica,190485.22584499998,32.47017179944371,-2.421581524700811,False,39563.47176,28.087536692491184,4.591197609523645
2016,Eólica,33488.871996,5.730583928591945,54.856807645962704,True,10123.94222,6.734139535337448,32.63851292040649
2016,Hidráulica,380910.942378,65.18111821971499,5.884241102767107,True,96924.99831,64.471571340308,5.755361954882066
2016,Nuclear,15864.343667,2.7146914015685075,7.6705532690884315,False,1990.0,1.323687688462679,0.0
2016,Solar fotovoltaica,85.260589,0.014589710908269528,44.71204521719472,True,23.76142,0.015805376439392397,11.310773549403752
2016,Térmica,154039.055796,26.35901673921628,-19.133331673006836,False,41274.875209999984,27.454796059452462,4.325716055410167
2017,Eólica,42373.258248,7.1146892706441385,26.529368481151504,True,12283.242860000002,7.818135540905115,21.32865432335509
2017,Hidráulica,370906.456375,62.277112846482716,-2.626463272633417,True,100275.40012999998,63.824079566789095,3.456695257589004
2017,Nuclear,15739.196438,2.64269250598128,-0.7888585347550325,False,1990.0,1.2666109352169215,0.0
2017,Solar fotovoltaica,831.8134019999999,0.13966577344017983,875.6130138861695,True,935.3246300000001,0.5953228162491062,3836.316221841961
2017,Térmica,165723.539375,27.82583960345168,7.585403272319602,False,41628.20823999999,26.495851140839775,0.8560486935510037
2018,Eólica,48475.141215,7.983349063757938,14.400315716311507,True,14390.29286,8.837070624221822,17.153857690639175
2018,Hidráulica,388971.075876,64.05947041290291,4.870397694758921,True,104139.37922999999,63.95193329082317,3.853366922486101
2018,Nuclear,15673.887022,2.5813253586523133,-0.41494758806314147,False,1990.0,1.2220578631226986,0.0
2018,Solar fotovoltaica,3461.434833,0.5700621357806118,316.1311689229071,True,1797.5802600000002,1.1038930107171583,92.1878460529795
2018,Térmica,150621.538708,24.80579302890623,-9.112767398014054,False,40522.827489999996,24.885045211115145,-2.6553647075731046
